,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,weight
416,14576.0,549.5046141147614,247.97291564941406,60.75478744506836,86.00442504882812,229.28536987304688,80.60260772705078,139.0,11.0,206.0,100.0,14576.0,3584770.833333333,885924.8333333333,925141818.5,211870236.0,61675231.83333333,248771993385.95,53323604646.76666,14460358221.066666,4689423686.55,43515725.777897954,-6011041.652238429,7828990.730376802,-158386469.67843628,50436577.439199924,22864390.978388786,-10865425.599772453,0.20481865601655327,-0.028292610325629023,0.03684928449880698,-0.00617478982336196,0.001966299682852139,0.0008913817513412612,-0.0004235950176563962,46.6
417,15396.0,579.0193328857422,245.50009155273438,61.14700698852539,84.19629669189453,251.4927520751953,83.44591522216797,127.0,12.0,220.0,97.0,15396.0,3723225.0,944841.8333333333,955167269.6666666,222850520.41666666,65587407.5,257253377653.1,55961432374.01666,15205641877.283333,4945094375.05,54777272.22414911,-5641213.469570011,7603120.021648847,-229012341.5862732,71916904.3253088,36989867.95876479,-13155694.221014977,0.23109183268876304,-0.023798891517214826,0.03207569250191433,-0.007786443403843135,0.002445182217822374,0.0012576593531228987,-0.00044729497013421763,46.6
418,15468.0,586.1320307254791,245.19212341308594,61.07986068725586,83.34869384765625,257.3557434082031,83.95478057861328,122.0,13.0,227.0,95.0,15468.0,3738229.333333333,947266.1666666666,960953614.3333333,223405624.75,65434476.83333333,259834148335.6,56266431976.75,15169288609.449999,4905468571.75,57516935.47415459,-5524952.616663754,7423538.734590054,-205157313.4434204,87755566.0804491,32109960.802274704,-11004158.931648254,0.24039609671798456,-0.02309192992722295,0.03102720478618208,-0.006894481249264134,0.002949098400175116,0.001079081798012252,-0.0003698038648721859,46.6
419,15140.5,581.2030984163284,251.8234100341797,61.32540512084961,83.09415435791016,252.37860107421875,84.86661529541016,127.0,14.0,229.0,95.0,15140.5,3764586.333333333,926627.8333333333,991310237.25,226198884.4583333,63641062.08333333,273752824327.2,58638047835.63333,15346535069.566666,4738638319.150001,55270459.09735584,-4201067.818866521,6929649.546889506,-215261347.29577637,57083381.916656494,36828004.650085926,-4533422.872943878,0.24110856424762975,-0.018326488447104043,0.030229491129189816,-0.007631598435155954,0.0020237606685141888,0.001305652622676057,-0.00016072213306144971,46.6
420,15382.0,586.6173119544983,252.37232971191406,63.80354309082031,82.79704284667969,258.37371826171875,85.07331085205078,128.0,18.0,230.0,92.0,15382.0,3834463.333333333,979346.1666666666,1013661433.3333333,239864019.5,69367874.5,281308453767.60004,62482030380.35,16779918431.949999,5304286266.55,57796847.799737096,-4269836.092503488,7014545.01328212,-195081915.11065674,72696148.08221865,31428244.55292511,-5458728.946468353,0.24427472830197228,-0.018046192674801703,0.02964653164509153,-0.006647907880613316,0.0024773044464520637,0.001070996635022372,-0.00018601994531771248,46.6
421,15255.0,576.3330411911011,273.9299621582031,69.40383911132812,83.01197052001953,251.75416564941406,89.00474548339844,150.0,25.0,225.0,87.0,15255.0,4109671.0,1060187.8333333333,1162618074.1666665,284741971.5,80356366.0,342755092874.10004,80314790501.35,21589472294.95,6509696619.05,55479711.122353315,-870823.8590844274,6675720.837887406,-344514025.5671997,-15326701.229846,62644809.218726635,-2783065.3942079544,0.23840193009606195,-0.00374201820051983,0.028686247645107597,-0.01198605806608418,-0.0005332344034470225,0.002179488395568853,-9.682619847411498e-05,46.6
422,19765.5,666.3401814699173,195.98670959472656,73.43206024169922,94.84020233154297,287.6961364746094,69.46373748779297,60.0,4.0,254.0,146.0,19765.5,3808612.5,1468184.1666666665,820058552.5833333,254562289.7083333,130744820.91666666,191044317957.95,50402692421.78333,20794674140.816666,12977019736.85,86177336.56773794,-28341991.46182424,21687891.05146244,-183701400.9317627,411057667.81102276,-188039831.5783496,43316443.54517937,0.22058575214295517,-0.07254621403762673,0.05551389669859329,-0.003344590530559724,0.007483990738782654,-0.0034235788996438256,0.0007886481331328932,83.6
423,19476.5,655.7716399431229,196.7089080810547,68.75122833251953,96.26951599121094,281.6112976074219,73.26201629638672,77.0,5.0,241.0,137.0,19476.5,3813802.333333333,1334265.3333333333,831147368.25,239103554.875,109311943.91666666,195956358204.40002,48575189856.71667,18179969320.55,10013885168.9,84345415.24310589,-22166398.225015074,17906199.571681127,172451686.4958496,317309960.2829056,-187932167.7865839,71935641.63532257,0.22235128837713222,-0.058435033958950555,0.047204303081865295,0.003257543005464522,0.005993857541710276,-0.003549963071481502,0.001358835341157346,83.6
424,20499.5,711.168608546257,194.78512573242188,74.73351287841797,96.86526489257812,308.43719482421875,70.4234848022461,67.0,4.0,258.0,159.0,20499.5,3997756.5,1506230.0,882009326.9166666,261318379.875,133880665.75,212314083107.55002,52615580774.2,20980200291.433334,13443459671.1,102377773.3035419,-32422480.779894054,23208268.23298739,376165738.7727051,454574802.64958954,-364265440.7157564,195865588.62151527,0.24362348012844415,-0.07715422349122443,0.05522760353373689,0.006252030189737079,0.007555221267443158,-0.006054242313144021,0.0032553671080934495,83.6
425,20150.0,696.2985513210297,196.1462860107422,72.94242095947266,91.24686431884766,310.2757568359375,72.09180450439453,62.0,4.0,263.0,144.0,20150.0,3919009.333333333,1475589.0,863227993.0,257313094.3333333,128321652.0,207324644073.0,51974285392.7,20430885778.333332,12433173289.1,101012898.47127664,-29676834.35966909,20263939.99399504,141540095.1552124,303707264.45106506,-180138101.80822372,68284353.28728294,0.24878645511339062,-0.07309160048930562,0.04990841639070505,0.0024557935650693793,0.005269477492479156,-0.003125488864193103,0.0011847687060966207,83.6
426,20850.5,715.9970356225967,199.45523071289062,69.05606079101562,95.33911895751953,315.4719543457031,74.15518951416016,59.0,4.0,275.0,143.0,20850.5,4131145.1666666665,1427267.6666666665,933051717.75,252875069.4583333,117819604.91666666,230603933425.35,52524889838.36667,18959734076.7,10936039050.6,114540872.05932784,-29911910.359398186,20119646.05179,348446313.75567627,508215885.30180836,-288978730.26684666,116521382.15107155,0.26346779540954657,-0.06880360640869443,0.04627936468774084,0.005550660814863154,0.008095749298165106,-0.004603357392799982,0.0018561558681121555,83.6
427,20762.0,734.9259679317474,196.21035766601562,70.56097412109375,96.92160034179688,316.2548828125,73.2277603149414,57.0,4.0,276.0,153.0,20762.0,4085759.0,1422665.1666666665,918667540.6666666,249656421.8333333,117747842.83333333,226238765923.7,51540811326.916664,18710875854.983334,10981008784.25,114630039.16965282,-30310200.29819703,20263198.94321224,337812224.52734375,520872855.9852705,-306886223.2850466,135654336.09402657,0.2659255507669423,-0.07031539696348858,0.04700776845499317,0.005438791306830336,0.00838607532649332,-0.004940881360122605,0.002184040630602794,83.6
428,18146.0,663.9554054737091,220.4586639404297,73.69500732421875,92.44011688232422,276.7401123046875,71.12742614746094,96.0,8.0,247.0,146.0,18146.0,4013430.6666666665,1315440.1666666665,965067750.3333333,267530941.25,112645560.16666666,248102894549.6,59783197280.75,21330820189.783333,10787379146.75,77399629.74805582,-23410748.657699227,17286647.34400451,416980307.4642639,179204711.68610287,-189309172.3126912,115187205.46760368,0.23505910060338267,-0.07109736237554617,0.052498749546429475,0.009400766786677475,0.00404014691216373,-0.0042679506624975815,0.0025968805625259535,56.0
429,18155.0,664.4406867027283,222.08815002441406,72.74053955078125,92.84654235839844,277.8555908203125,70.91535186767578,99.0,7.0,246.0,147.0,18155.0,4045836.5,1297541.6666666665,979903789.3333333,265044724.0,110464403.5,253695114330.45,59522649711.35,20935778843.983334,10569029279.300001,78290295.269315,-24112061.198062956,17728827.80536431,429898920.5984802,235451616.39865494,-234593366.62648296,139949037.93582344,0.23752833500535986,-0.07315463213188297,0.05378826246240261,0.00968000811877346,0.005301649874217831,-0.0052823247157573385,0.0031512240634318425,56.0
430,18239.0,664.2985513210297,183.22401428222656,96.64772033691406,83.28527069091797,304.76849365234375,73.89405059814453,50.0,31.0,260.0,132.0,18239.0,3317289.833333333,1772097.6666666665,691642892.3333333,299181137.4166666,186866219.16666666,158000083612.25,58849487183.85,29465377577.416668,21009901195.300003,88297761.66078031,-23126092.87595111,14689557.057699949,85808204.5291748,61897397.882876396,-27797409.470914364,-453020.21103286743,0.2654285580333276,-0.06951847215097647,0.04415772126764387,0.0019099687274120806,0.0013777481409051173,-0.0006187308437908577,-1.0083586303967139e-05,56.0
431,18321.0,663.8132700920105,184.58995056152344,94.43740844726562,84.80303955078125,302.616943359375,72.6920394897461,53.0,29.0,256.0,138.0,18321.0,3354360.6666666665,1735598.5,700132575.5,293462972.4166666,180370514.0,159782163855.80002,57575623501.15,28333104040.183334,20136990956.45,85988397.666888,-24304799.07646513,15952515.353515089,109145431.24719238,149995873.16709423,-85705628.95158386,27547313.624580383,0.2561778089179728,-0.07240918940856156,0.047525951650189836,0.00240232977668815,0.0033014625383040834,-0.0018864113880668939,0.000606326174461828,56.0
432,18093.5,637.9726504087448,183.87167358398438,101.54366302490234,88.51187896728516,283.4498291015625,77.34736633300781,59.0,43.0,246.0,122.0,18093.5,3317412.6666666665,1837712.8333333333,686634304.0833333,321724247.125,198996644.91666666,154638639698.5,64270595186.03333,33359211848.5,22721521104.850002,78392294.46880627,-15217297.13099736,12344617.514669955,-789876.4116516113,110948688.05108547,-35319116.66197157,2289766.9532165527,0.23945736903839063,-0.046482807520247416,0.037707910603692746,-1.793711872215952e-05,0.0025195078119612585,-0.0008020535610158376,5.199778228601949e-05,60.2
433,18112.5,619.2619735002518,172.7842559814453,69.0087661743164,89.58537292480469,276.8905944824219,88.8048095703125,51.0,23.0,240.0,90.0,18112.5,3111680.5,1253281.1666666665,612710339.4166666,213913127.4583333,96077710.41666666,131934252947.15001,41840121298.01666,16339331233.716667,7942403195.55,78131703.99470663,-1397324.844436407,9357838.354755774,-173441452.59736633,-75808146.93310738,26803633.12628174,-641118.7696638107,0.23816091989198065,-0.004259323083001487,0.028524546078248655,-0.003928320433044639,-0.0017169983768522588,0.0006070824368280432,-1.452086525546679e-05,60.2
434,17377.0,621.5046141147614,172.2977294921875,63.21168899536133,86.87374114990234,284.8655090332031,90.26827239990234,50.0,19.0,239.0,88.0,17377.0,2978833.5,1099878.3333333333,587534122.0,189049687.0,78014998.5,126912286773.75,37268422518.28333,13454927495.583334,6003620408.1,76890799.1754474,504228.90841344,8398128.606686369,-166961765.00106812,-92461340.26095963,17460042.222094774,2535875.944571495,0.2546389135217498,0.0016698526063135973,0.027812044704373436,-0.004194498315700436,-0.0023228607818653506,0.0004386400544589745,6.370756429331195e-05,60.2
